E_FCI V_0 V_optimized Sum_CommSq_0 Sum_CommSq_Optimized a_opt b_opt c_opt
-1.871168059873308920e+00 5.749414086994334427e-01 8.161597767650283219e-02 1.758001489247390803e-01 1.147734734293461428e-01 1.000000000000000000e+00 9.999952419044423335e-01 -1.933689712911341063e+00
-1.871168059873308920e+00 2.110954480593933980e+00 4.148391086484364693e-02 7.556354695866133175e-01 4.514497176573265035e-04 1.000000000000000000e+00 9.999949634558427114e-01 -1.954259304149897014e+00
-1.871168059873308920e+00 8.343681184455302713e-01 2.355938739137894422e-02 3.301144102594693042e-01 1.192970207076841579e-03 1.000000000000000000e+00 9.999947181491628534e-01 -1.948264867807389056e+00
-1.871168059873308920e+00 1.296560848658522058e+00 4.148391118017848850e-02 4.377988155717482677e-01 4.513915002472107768e-04 1.000000000000000000e+00 1.000126584741765301e+00 -1.954373629273398638e+00
-1.871168059873308920e+00 3.680585411815398000e-01 4.148391104567891036e-02 1.182934558465761621e-01 4.511983399541085772e-04 1.000000000000000000e+00 1.000012996093028184e+00 -1.954297974013910366e+00
-1.871168059873308920e+00 1.618059307801452018e+00 5.051765984949496691e-03 5.429189327006722632e-01 1.708919234969465909e-03 1.000000000000000000e+00 9.999925916185952168e-01 -1.418810982120810582e+00
-1.871168059873308920e+00 1.208257766940211919e+00 5.051765830605459140e-03 4.458612438315215365e-01 1.708907387144712516e-03 1.000000000000000000e+00 9.999980696454070506e-01 -1.418732827928678386e+00
-1.871168059873308920e+00 2.060980118371641190e+00 4.148391287003116989e-02 7.843927428151136194e-01 4.516066620706956974e-04 1.000000000000000000e+00 1.000325578494213996e+00 -1.954597268567286106e+00
-1.871168059873308920e+00 4.804554443323736934e-01 5.051765821363130016e-03 1.229407247775140266e-01 1.708911584614489221e-03 1.000000000000000000e+00 1.000000301213407328e+00 -1.418742160873168512e+00
-1.871168059873308920e+00 1.250745991666086132e+00 2.355938057655199841e-02 4.649841168724515028e-01 1.192874213914140542e-03 1.000000000000000000e+00 1.000006873024660292e+00 -1.948287398024963535e+00
-1.871168059873308920e+00 1.031686210349056276e+00 2.355938059344687280e-02 2.834206071833544893e-01 1.192882319600692409e-03 1.000000000000000000e+00 1.000005016285600234e+00 -1.948279265735808785e+00
-1.871168059873308920e+00 2.104846608802198593e-01 4.148391080252275542e-02 1.047683526569802154e-01 4.514072341475823145e-04 1.000000000000000000e+00 1.000003607567038211e+00 -1.954271769178528517e+00
-1.871168059873308920e+00 7.673225768907978583e-01 4.148391215195129655e-02 2.755390957515383432e-01 4.512592681298945594e-04 1.000000000000000000e+00 1.000178993783479520e+00 -1.954442177126556102e+00
-1.871168059873308920e+00 6.791722235018514686e-01 5.051765832886828678e-03 2.651592538734264259e-01 1.708909191412564177e-03 1.000000000000000000e+00 9.999999613336961746e-01 -1.418721324813922324e+00
-1.871168059873308920e+00 6.007602540096566024e-01 2.355938061039487830e-02 2.114563284079828687e-01 1.192869510802798544e-03 1.000000000000000000e+00 1.000001362748224709e+00 -1.948288366479675293e+00
-1.871168059873308920e+00 4.909298048849404239e-01 4.148391082226110527e-02 1.609244536426688299e-01 4.513915677385243672e-04 1.000000000000000000e+00 9.999764192279549935e-01 -1.954244112253933352e+00
