V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
1.138164606566287318e-02 1.189232424836502051e-03 9.547481107114185600e-03 4.517938766876465097e-03 1.000031117500293387e+00 -1.917443725949731226e+00 1.618918637128796689e-02 1.618918637128707871e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138152406270907975e-02 1.189125266101690673e-03 9.547481104603723276e-03 4.517819465269203548e-03 1.000124226736130106e+00 -1.917537769026133709e+00 1.618890903209546650e-02 1.618890903209546650e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138124514746899699e-02 1.188830000941784506e-03 9.547481127023622546e-03 4.517755251465886343e-03 9.999687662599076043e-01 -1.917371982773294459e+00 1.618876132983659843e-02 1.618876132983526617e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138152726112306654e-02 1.189042597887269605e-03 9.547481169969961740e-03 4.517919319275185731e-03 9.999539101553562848e-01 -1.917325744483171945e+00 1.618876436396510243e-02 1.618876436396554652e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138172279981952348e-02 1.189256700732632156e-03 9.547481101338458481e-03 4.518043784963314199e-03 9.998799136324021397e-01 -1.917271146416491101e+00 1.618921291003871943e-02 1.618921291003871943e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138174463163250591e-02 1.189322044652207314e-03 9.547481055679913828e-03 4.517977153263444748e-03 1.000029070844955736e+00 -1.917439297764242712e+00 1.618920860992334454e-02 1.618920860992112409e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138167580166492276e-02 1.189226394146147836e-03 9.547481435178816617e-03 4.517977141002872850e-03 9.998487237144791928e-01 -1.917249306582703205e+00 1.618909451646999287e-02 1.618909451647132514e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138137411934869898e-02 1.188935269577203347e-03 9.547481142569386875e-03 4.517806557307295010e-03 9.998253098574624298e-01 -1.917224343946740017e+00 1.618872200198406830e-02 1.618872200198628875e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138155636211893480e-02 1.189093402127379580e-03 9.547481157002371197e-03 4.517962287639870622e-03 1.000184548518814553e+00 -1.917560380705076728e+00 1.618903934423343571e-02 1.618903934423299162e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138160617028819745e-02 1.189213104236787766e-03 9.547481090903333495e-03 4.517888099051260535e-03 9.999941853471965292e-01 -1.917418865960043961e+00 1.618914688581307715e-02 1.618914688581085670e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138124511411894163e-02 1.188830174742679623e-03 9.547481294858356504e-03 4.517786016474884155e-03 1.000144526286495417e+00 -1.917540842181903349e+00 1.618887988209305462e-02 1.618887988209305462e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138161427269760405e-02 1.189205701250164310e-03 9.547481053442103197e-03 4.517901540671309321e-03 1.000004109754675463e+00 -1.917419728914367294e+00 1.618909798707512948e-02 1.618909798707646175e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138180837634965303e-02 1.189335078531233297e-03 9.547481091822875715e-03 4.518082966075249833e-03 1.000060900840611833e+00 -1.917442870487035433e+00 1.618925784692848424e-02 1.618925784692537562e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138165565364273116e-02 1.189233373675245738e-03 9.547481066330236466e-03 4.517928278978786301e-03 1.000043855325296827e+00 -1.917451131699405176e+00 1.618908724216083783e-02 1.618908724216039374e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138144392288091208e-02 1.188982138062986277e-03 9.547481176343276810e-03 4.517927211767637855e-03 1.000144085027059315e+00 -1.917519244011381296e+00 1.618899210962743140e-02 1.618899210962565505e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.138196352366569082e-02 1.189556234452900270e-03 9.547481210732355200e-03 4.518060821819286192e-03 1.000026797299184089e+00 -1.917451903456158124e+00 1.618946621857286772e-02 1.618946621857197954e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
1.137961446854372782e-02 1.187303197267637785e-03 9.547482535946401339e-03 4.516756852568611438e-03 9.997833269889859764e-01 -1.917207283870323575e+00 1.618674573603140487e-02 1.618674573603096079e-02 2.400000000000000000e+01 7.000000000000000000e+00 8.000000000000000000e+00 6.000000000000000000e+00
