V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
1.013681363321732552e-02 7.196492388486909822e-05 1.023965814104401371e-02 3.969420832328677748e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609900097266425689e-02 1.609900097266381280e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013678685618740055e-02 7.194692574983927314e-05 1.023964290933654202e-02 3.969420633629975291e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609899744376575015e-02 1.609899744376530606e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013665821007092224e-02 7.186057919169135913e-05 1.023979591409703016e-02 3.969421162047415304e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609922644006545056e-02 1.609922644006456238e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013690009180562117e-02 7.202284191661075072e-05 1.023944131168036571e-02 3.969420670709943727e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609872484197660825e-02 1.609872484197705234e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013692184538777553e-02 7.203744407673804372e-05 1.023946584584100629e-02 3.969420706078962205e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609874053432713836e-02 1.609874053432713836e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013696688753006753e-02 7.206748468444227978e-05 1.023948719840282566e-02 3.969421309088054517e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609874205048367202e-02 1.609874205048456020e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013688217260933638e-02 7.201081937932480345e-05 1.023948762065711449e-02 3.969420730544620871e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609878351926896656e-02 1.609878351926852247e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013682528637651140e-02 7.197269238984417062e-05 1.023960021118783953e-02 3.969420634595082625e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609893253839311811e-02 1.609893253839311811e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013681730042901609e-02 7.196734366717553880e-05 1.023963474176950959e-02 3.969420646485969338e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609897362752255034e-02 1.609897362752343852e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013688877300152232e-02 7.201526423082773654e-05 1.023954066638055674e-02 3.969420674208676281e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609883719288296433e-02 1.609883719288385251e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013678354003989465e-02 7.194469958940433890e-05 1.023963554150283256e-02 3.969420647361414020e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609899118236546300e-02 1.609899118236546300e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013679876086301390e-02 7.195490878941426935e-05 1.023963480456607789e-02 3.969420632600776863e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609898284018740355e-02 1.609898284018829173e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013693740882101388e-02 7.204787255133094867e-05 1.023940863059500349e-02 3.969420781790250138e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609867147093480000e-02 1.609867147093480000e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.013699268015202069e-02 7.208492197269883905e-05 1.023933508300300596e-02 3.969420765111573469e-03 9.999999999999998890e-01 -2.000000000000001332e+00 1.609856498984640893e-02 1.609856498984552076e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
