V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
1.143995140197232030e-02 1.220275084727281663e-03 9.752722991682331866e-03 4.442305861969210977e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385257118698412e+00 -2.125385257118697968e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143990280400406824e-02 1.220232907249705397e-03 9.752722975010969658e-03 4.442329304268245217e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385168339932740e+00 -2.125385168339932740e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.144028337009703189e-02 1.220594817230972757e-03 9.752722977948925093e-03 4.442505875203230439e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125384883158692340e+00 -2.125384883158691451e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143957832171896456e-02 1.219920332654912502e-03 9.752723013579926714e-03 4.442133150245781981e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385535612626331e+00 -2.125385535612626331e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143991378025673369e-02 1.220243596518347283e-03 9.752722969494068486e-03 4.442337226286084684e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385152412316625e+00 -2.125385152412317069e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143976922150638335e-02 1.220105915441906932e-03 9.752722973200848161e-03 4.442267758050795490e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385267264479072e+00 -2.125385267264479516e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.144000214702607654e-02 1.220325481612024535e-03 9.752723294359597062e-03 4.442354695922383009e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385149914857941e+00 -2.125385149914859273e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143893854550777703e-02 1.219313305979598510e-03 9.752723274500992717e-03 4.441851830805655307e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385972479876706e+00 -2.125385972479874486e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143997049971157663e-02 1.220296724447226654e-03 9.752722963173919221e-03 4.442354308071245518e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385135065126718e+00 -2.125385135065126718e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143995007723433953e-02 1.220277660010648428e-03 9.752722964366702940e-03 4.442348900031247924e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385139292289782e+00 -2.125385139292289782e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143979890923656033e-02 1.220130536987293216e-03 9.752723009455168887e-03 4.442240464320218636e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385356821718474e+00 -2.125385356821717142e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.144022071886561381e-02 1.220535035501449893e-03 9.752722987699472684e-03 4.442474529935405529e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125384936300235506e+00 -2.125384936300235061e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.144005535958124951e-02 1.220369897207437696e-03 9.752723087005251562e-03 4.442308222340199050e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385304015765087e+00 -2.125385304015763754e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.144012632921223918e-02 1.220446890212784812e-03 9.752722976940474825e-03 4.442449168742134205e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125384956845361106e+00 -2.125384956845363327e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.144007848486564526e-02 1.220406462192716876e-03 9.752723086370025316e-03 4.442485020938132662e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125384834481628182e+00 -2.125384834481627738e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143984458139906887e-02 1.220176952690658900e-03 9.752723126221047104e-03 4.442296035547932745e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385228735015897e+00 -2.125385228735017229e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143994562563614356e-02 1.220271741305587864e-03 9.752722964962707089e-03 4.442327628586623112e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385194924342969e+00 -2.125385194924345189e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.144000328245607830e-02 1.220327545660558404e-03 9.752722963789104207e-03 4.442365484540918875e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385121483168938e+00 -2.125385121483172490e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.143959959375206135e-02 1.219938352167600042e-03 9.752723549078808063e-03 4.442119272288702451e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385583594279648e+00 -2.125385583594280092e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.144000428694305453e-02 1.220329083919039718e-03 9.752722968859539598e-03 4.442372609696040170e-03 9.999999999999998890e-01 -2.000000000000001332e+00 -2.125385102587761033e+00 -2.125385102587761477e+00 2.400000000000000000e+01 7.000000000000000000e+00
