V_fci V_hf C_fci C_hf b c E_dec-E_fci E_bo-E_fci K_en K_overlap Sectors_en Sectors_overlap
1.009316589516516711e-02 7.081293197746792254e-05 1.013700033024358786e-02 3.953664423691887093e-03 9.998713422182832211e-01 -1.975650010816451640e+00 1.609963938206426803e-02 1.609963938206204759e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009311921945246250e-02 7.077919608384768027e-05 1.013712803944697566e-02 3.953664397219210612e-03 1.000096719953212254e+00 -1.975875980296017076e+00 1.609978793637223404e-02 1.609978793637223404e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009352488754572917e-02 7.107584827356351305e-05 1.013655149574857472e-02 3.953664829115180121e-03 1.000004728424177536e+00 -1.975753304790150988e+00 1.609905667050703926e-02 1.609905667050792744e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009318889671321877e-02 7.082991153583298926e-05 1.013703708699572117e-02 3.953664415917572915e-03 9.999667876518613108e-01 -1.975742478136574665e+00 1.609966958310327101e-02 1.609966958310371510e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009304544668835658e-02 7.074443338443193747e-05 1.013709689027848110e-02 3.953664665070817825e-03 9.998439688451564722e-01 -1.975606997500740869e+00 1.609985631330745903e-02 1.609985631330657085e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009299681203049137e-02 7.070900973027853032e-05 1.013722223064567052e-02 3.953664464340912905e-03 9.999406525246895550e-01 -1.975706400566826781e+00 1.610000194663463446e-02 1.610000194663552264e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009313888155861060e-02 7.078994475766934333e-05 1.013716923911598018e-02 3.953664399991676029e-03 9.999940803452795901e-01 -1.975777885642993947e+00 1.609980925224396842e-02 1.609980925224396842e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009386234750019387e-02 7.132958544900272046e-05 1.013552154527000253e-02 3.953670642505369495e-03 9.988885030310741264e-01 -1.974612103090881865e+00 1.609792653523500761e-02 1.609792653523633987e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009309483599299222e-02 7.077311184140754920e-05 1.013712807906270476e-02 3.953664423552718903e-03 9.998911427290565479e-01 -1.975659616982448741e+00 1.609984198265124178e-02 1.609984198264857724e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009320622401670316e-02 7.082198028195060271e-05 1.013722261392595997e-02 3.953664545184456570e-03 1.000150046957444694e+00 -1.975949132217792004e+00 1.609977434871012747e-02 1.609977434871057156e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009315377110258337e-02 7.080487343730476374e-05 1.013706989971723503e-02 3.953664544271682374e-03 9.997699723009805250e-01 -1.975549843261350524e+00 1.609971832787726598e-02 1.609971832787726598e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009325829693649701e-02 7.085558627828886799e-05 1.013702960948394474e-02 3.953664665006371114e-03 1.000215580246554659e+00 -1.976015179172172731e+00 1.609954124205170700e-02 1.609954124205215109e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009308837118115185e-02 7.077950455134854454e-05 1.013698508490452899e-02 3.953664560293571051e-03 1.000368927713392919e+00 -1.976117257464863775e+00 1.609974132919100853e-02 1.609974132919056444e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009321544684189942e-02 7.082361189870284551e-05 1.013733743402122842e-02 3.953664898987521541e-03 1.000110175799409751e+00 -1.975915903064810131e+00 1.609986992330769695e-02 1.609986992330814104e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009312098285242154e-02 7.078586687003535650e-05 1.013708910290018680e-02 3.953664395595655155e-03 1.000019036073421796e+00 -1.975792105740704852e+00 1.609976821668723801e-02 1.609976821668546165e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009281648214083345e-02 7.059062365260331483e-05 1.013757439875220476e-02 3.953665243579729607e-03 9.999636848120551091e-01 -1.975726522987948153e+00 1.610047917464196843e-02 1.610047917464374478e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009280880906621158e-02 7.053598406774196799e-05 1.013754821206297452e-02 3.953665037971330377e-03 1.000138132663732193e+00 -1.975962196197055043e+00 1.610026538063902279e-02 1.610026538063769053e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009303719659605109e-02 7.072355413166640879e-05 1.013728755076314172e-02 3.953664424076901163e-03 9.999832363660933199e-01 -1.975764870137460605e+00 1.609999671399409138e-02 1.609999671399275911e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009374724012007674e-02 7.119821012094190477e-05 1.013619537072171090e-02 3.953665149345061795e-03 9.999858614879408858e-01 -1.975769077438551014e+00 1.609845892169614601e-02 1.609845892169436965e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.009330946549899001e-02 7.089402536096840062e-05 1.013699116464999994e-02 3.953664573748183475e-03 9.999615063354962974e-01 -1.975758959397174719e+00 1.609948792239412896e-02 1.609948792239501714e-02 2.400000000000000000e+01 5.000000000000000000e+00 8.000000000000000000e+00 4.000000000000000000e+00
