V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
2.502451756280099637e-02 1.613154017679561125e-01 1.918712869200746686e-03 4.278633209889433527e-03 1.000238485731659299e+00 -1.889293011334279404e+00 -1.862588568869106398e+00 -1.863108753047889810e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.374499673699431712e-02 8.959768475749799177e-02 1.117851069357637690e-03 1.541347392778067218e-03 9.998835201635282166e-01 -1.991728584207826502e+00 -1.866082015159066465e+00 -1.866486773497118001e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.982513274912127699e+00 9.999753818486838419e-01 5.619104814269456098e-04 3.212735404448417882e-03 -1.007630958780335151e+00 5.384042569630122059e-03 -1.862266266754349697e+00 -1.864222535581042672e+00 1.700000000000000000e+01 1.400000000000000000e+01
2.374489778084720726e-02 8.959871446392253524e-02 1.117850928321825754e-03 1.541397290869353249e-03 1.000152272153819855e+00 -1.991978718967252204e+00 -1.866082068368114966e+00 -1.866486035316200498e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.982570391277297173e+00 9.999993581878563464e-01 5.618774889250989892e-04 3.212770224471041790e-03 -9.999533619589415778e-01 -9.792926017339653979e-06 -1.862266256415914256e+00 -1.864222025112112879e+00 1.700000000000000000e+01 1.400000000000000000e+01
1.982570035931809915e+00 9.999987041251727771e-01 5.618784337328505555e-04 3.212818666246363732e-03 -9.992614653096963950e-01 -7.683885524902055522e-04 -1.862266275862090037e+00 -1.864195226235327185e+00 1.700000000000000000e+01 1.400000000000000000e+01
2.502135669804816942e-02 1.613001192692765651e-01 1.918712259926628333e-03 4.277565270126093035e-03 1.000074542758958795e+00 -1.888758265476105480e+00 -1.862588568869107508e+00 -1.863113663694838440e+00 2.000000000000000000e+01 7.000000000000000000e+00
2.374503030472380205e-02 8.960070589006302599e-02 1.117850777718603153e-03 1.541469303118091346e-03 9.999510362265932040e-01 -1.991779698050402114e+00 -1.866082085314731076e+00 -1.866486871970419292e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.374547665861131973e-02 8.960403713327003139e-02 1.117851078459997614e-03 1.541543101569753946e-03 1.000533954784474044e+00 -1.992410914513683906e+00 -1.866082117834626075e+00 -1.866487003210448137e+00 8.000000000000000000e+00 4.000000000000000000e+00
1.982570031474248706e+00 9.999993438521901368e-01 5.618785986031687996e-04 3.212782053687609010e-03 -1.000120492944180262e+00 1.277012975387718352e-04 -1.862266271020562858e+00 -1.864227221205254859e+00 1.700000000000000000e+01 1.400000000000000000e+01
8.508876290008005050e-02 1.654717284983545644e-01 1.313750863964782342e-03 5.351019812583721058e-03 9.998352810031233551e-01 -1.981155695951652973e+00 -1.865953377758587051e+00 -1.866890608286120523e+00 2.500000000000000000e+01 9.000000000000000000e+00
2.374486556353611055e-02 8.959951165322965760e-02 1.117851002285316468e-03 1.541442063158905479e-03 9.999433214211025378e-01 -1.991756903987867533e+00 -1.866082082508716100e+00 -1.866486275085755597e+00 8.000000000000000000e+00 4.000000000000000000e+00
2.374509815432845894e-02 8.960071050322920838e-02 1.117851064332347176e-03 1.541468528124191996e-03 9.999763414560963737e-01 -1.991812292283601016e+00 -1.866082066640599946e+00 -1.866487370168832483e+00 8.000000000000000000e+00 4.000000000000000000e+00
8.508379437674978840e-02 1.654620825664180062e-01 1.313748392381869400e-03 5.350665976835607303e-03 9.999846961748293239e-01 -1.981122860132818131e+00 -1.865953420223321002e+00 -1.866890335636638643e+00 2.500000000000000000e+01 9.000000000000000000e+00
1.982569095947136928e+00 9.999980676418064318e-01 5.618811511813284927e-04 3.212783087495807779e-03 -9.987397211755670856e-01 -9.948916813081196478e-04 -1.862266241372425135e+00 -1.864186810725892762e+00 1.700000000000000000e+01 1.400000000000000000e+01
1.662237358057968017e-01 1.658849772899198272e-01 1.123664966235767525e-03 9.187114232152227694e-03 9.999980666921373107e-01 -1.991981416743607625e+00 -1.865942984049456799e+00 -1.867121730714731420e+00 2.600000000000000000e+01 6.000000000000000000e+00
8.508479536650248587e-02 1.654639047497815096e-01 1.313748667068096940e-03 5.350599638001503344e-03 9.999271652353567408e-01 -1.981103105405422449e+00 -1.865953568089552927e+00 -1.866889049230151087e+00 2.500000000000000000e+01 9.000000000000000000e+00
1.982570940721634090e+00 9.999990828442176793e-01 5.618776424362360595e-04 3.212756655682681532e-03 -9.997520272908795302e-01 -9.665500423821842089e-05 -1.862266226796359447e+00 -1.864198068305714662e+00 1.700000000000000000e+01 1.400000000000000000e+01
1.982571173435025536e+00 9.999986810502098367e-01 5.618810717617475550e-04 3.212893354700889839e-03 -1.000487539996719244e+00 -8.564305460714648861e-05 -1.862266306332232890e+00 -1.864166283270726199e+00 1.700000000000000000e+01 1.400000000000000000e+01
8.634988814116412170e-02 1.656265509777476996e-01 1.739536788757080343e-03 5.856598688691689800e-03 1.000022530015777456e+00 -1.983833970213797926e+00 -1.862588568869104400e+00 -1.863153044573321537e+00 2.500000000000000000e+01 9.000000000000000000e+00
