V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
1.138164606566287144e-02 1.189232424836506388e-03 9.547481107114168253e-03 4.517938766876465097e-03 1.000031117500293387e+00 -1.917443725949731226e+00 -2.125356658347996586e+00 -2.125356658347997474e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138152406270908322e-02 1.189125266101691107e-03 9.547481104603705929e-03 4.517819465269201813e-03 1.000124226736130106e+00 -1.917537769026133709e+00 -2.125356935687206850e+00 -2.125356935687206850e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138124514746900739e-02 1.188830000941782771e-03 9.547481127023606934e-03 4.517755251465886343e-03 9.999687662599076043e-01 -1.917371982773294459e+00 -2.125357083389451507e+00 -2.125357083389452839e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138152726112307521e-02 1.189042597887269605e-03 9.547481169969946127e-03 4.517919319275186599e-03 9.999539101553562848e-01 -1.917325744483171945e+00 -2.125357080355329664e+00 -2.125357080355329220e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138172279981952868e-02 1.189256700732631289e-03 9.547481101338444603e-03 4.518043784963314199e-03 9.998799136324021397e-01 -1.917271146416491101e+00 -2.125356631809249386e+00 -2.125356631809249386e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138174463163251111e-02 1.189322044652203411e-03 9.547481055679899950e-03 4.517977153263444748e-03 1.000029070844955736e+00 -1.917439297764242712e+00 -2.125356636109392738e+00 -2.125356636109394959e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138167580166492970e-02 1.189226394146147836e-03 9.547481435178806208e-03 4.517977141002871982e-03 9.998487237144791928e-01 -1.917249306582703205e+00 -2.125356750202830547e+00 -2.125356750202829215e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138137411934871807e-02 1.188935269577203347e-03 9.547481142569372997e-03 4.517806557307295010e-03 9.998253098574624298e-01 -1.917224343946740017e+00 -2.125357122717319136e+00 -2.125357122717316916e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138155636211894695e-02 1.189093402127379580e-03 9.547481157002348645e-03 4.517962287639871490e-03 1.000184548518814553e+00 -1.917560380705076728e+00 -2.125356805375056002e+00 -2.125356805375056446e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138160617028820439e-02 1.189213104236787766e-03 9.547481090903323087e-03 4.517888099051260535e-03 9.999941853471965292e-01 -1.917418865960043961e+00 -2.125356697833482578e+00 -2.125356697833484798e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138124511411895204e-02 1.188830174742679189e-03 9.547481294858339157e-03 4.517786016474884155e-03 1.000144526286495417e+00 -1.917540842181903349e+00 -2.125356964837212370e+00 -2.125356964837212370e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138161427269761619e-02 1.189205701250162575e-03 9.547481053442085849e-03 4.517901540671309321e-03 1.000004109754675463e+00 -1.917419728914367294e+00 -2.125356746732228519e+00 -2.125356746732227187e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138180837634966344e-02 1.189335078531233297e-03 9.547481091822851429e-03 4.518082966075248966e-03 1.000060900840611833e+00 -1.917442870487035433e+00 -2.125356586872361397e+00 -2.125356586872364506e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138165565364272942e-02 1.189233373675245738e-03 9.547481066330222588e-03 4.517928278978786301e-03 1.000043855325296827e+00 -1.917451131699405176e+00 -2.125356757477132597e+00 -2.125356757477133041e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138144392288092423e-02 1.188982138062986277e-03 9.547481176343255993e-03 4.517927211767637855e-03 1.000144085027059315e+00 -1.917519244011381296e+00 -2.125356852609659342e+00 -2.125356852609661118e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138196352366570817e-02 1.189556234452900270e-03 9.547481210732341322e-03 4.518060821819286192e-03 1.000026797299184089e+00 -1.917451903456158124e+00 -2.125356378500748544e+00 -2.125356378500749432e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.137961446854372609e-02 1.187303197267638218e-03 9.547482535946387461e-03 4.516756852568611438e-03 9.997833269889859764e-01 -1.917207283870323575e+00 -2.125359098983268691e+00 -2.125359098983269135e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138145969069540367e-02 1.189038566261870628e-03 9.547481058161794848e-03 4.517874760779390722e-03 1.000011475803040728e+00 -1.917415564189544286e+00 -2.125356816220413503e+00 -2.125356816220411726e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138158552060060218e-02 1.189166931774658913e-03 9.547481112148994975e-03 4.517919641873610268e-03 9.999179161033945329e-01 -1.917330744390092656e+00 -2.125356718453234706e+00 -2.125356718453236482e+00 2.400000000000000000e+01 7.000000000000000000e+00
1.138159317207099001e-02 1.189145553871199298e-03 9.547481129941422229e-03 4.517967480662419058e-03 9.999756295457902233e-01 -1.917369840403974957e+00 -2.125356718540379219e+00 -2.125356718540380996e+00 2.400000000000000000e+01 7.000000000000000000e+00
