V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
4.191620397651396601e-02 1.570777393879847494e-01 9.481494338807098729e-03 1.433878445642223880e-02 9.999856401576945331e-01 -1.651695423735812129e+00 -1.845396916925810205e+00 -1.857043786633708615e+00 3.000000000000000000e+01 1.200000000000000000e+01
3.453569566734598917e-02 9.118648267654431983e-02 5.517228589535060415e-03 6.057674604948856505e-03 1.000231328176168555e+00 -1.955111920356632282e+00 -1.865111453465184255e+00 -1.866500903975795156e+00 2.600000000000000000e+01 8.000000000000000000e+00
1.909555796090776747e+00 9.998431191126552209e-01 3.807352381271165639e-03 1.595094729769812314e-02 -1.001764450781975624e+00 1.035800103139047565e-03 -1.844108055130922352e+00 -1.861371778608207794e+00 2.500000000000000000e+01 1.800000000000000000e+01
3.453363317164781510e-02 9.117608701785122338e-02 5.517228116766615363e-03 6.056944464553269854e-03 9.998528543653707468e-01 -1.954717316697976992e+00 -1.865110709018930057e+00 -1.866497364994749608e+00 2.600000000000000000e+01 8.000000000000000000e+00
1.909553157355637909e+00 9.998420786016470885e-01 3.807345490202632132e-03 1.595088136545641175e-02 -1.000263913154862738e+00 1.053857108292667670e-04 -1.844108109502502035e+00 -1.861414211128351148e+00 2.500000000000000000e+01 1.700000000000000000e+01
1.909553918120940663e+00 9.998425013227031366e-01 3.807345899334127308e-03 1.595096293086830860e-02 -9.996856456002909397e-01 -3.510399866096749405e-06 -1.844108203792277578e+00 -1.861408665855028843e+00 2.500000000000000000e+01 1.700000000000000000e+01
4.191526513603072157e-02 1.570784335028857504e-01 9.481494396435842520e-03 1.433853332928108903e-02 1.000106242664573708e+00 -1.651716083946354940e+00 -1.845396916925809983e+00 -1.857045817692234868e+00 3.000000000000000000e+01 1.200000000000000000e+01
3.453403194571075252e-02 9.117902692465057468e-02 5.517228324162157943e-03 6.057103394784102424e-03 9.998112197521286104e-01 -1.954659427142527939e+00 -1.865111051348665505e+00 -1.866497127382870991e+00 2.600000000000000000e+01 8.000000000000000000e+00
3.453479063850606323e-02 9.118180385679568178e-02 5.517228110781598194e-03 6.057365484878846594e-03 1.000052961021733910e+00 -1.954921574034046206e+00 -1.865111120174784975e+00 -1.866499534019447681e+00 2.600000000000000000e+01 8.000000000000000000e+00
1.909535873404384132e+00 9.998347737151440651e-01 3.807346838184361842e-03 1.595047267270961397e-02 -9.998334603193669290e-01 -2.093375399192454666e-04 -1.844108063455153435e+00 -1.861464307795466011e+00 2.500000000000000000e+01 1.800000000000000000e+01
9.196544726584165996e-02 1.608719023531914871e-01 6.622582096606398350e-03 1.409944018168718741e-02 1.000015917283703981e+00 -1.902171109687776918e+00 -1.865398451732228402e+00 -1.869345058034250551e+00 2.600000000000000000e+01 1.000000000000000000e+01
3.453378425060182888e-02 9.117707986291356814e-02 5.517228097460264574e-03 6.056971039172319438e-03 1.000008037073445655e+00 -1.954873092589099581e+00 -1.865110800636509136e+00 -1.866497168658844519e+00 2.600000000000000000e+01 8.000000000000000000e+00
3.453363261229763781e-02 9.117637800974028039e-02 5.517228244706765157e-03 6.056914905311501160e-03 1.000053293501574458e+00 -1.954931030269606573e+00 -1.865110735304792433e+00 -1.866497125292134074e+00 2.600000000000000000e+01 8.000000000000000000e+00
9.794837565502595433e-02 1.620549098094009044e-01 9.129315231972837466e-03 1.749817915922712019e-02 9.999777420623086055e-01 -1.920082308837117502e+00 -1.845396916925811759e+00 -1.849000757440390830e+00 2.600000000000000000e+01 1.100000000000000000e+01
1.909555700159513814e+00 9.998432288572786097e-01 3.807345452705692117e-03 1.595100167350825549e-02 -9.998645599362978587e-01 -1.357107800255544423e-04 -1.844108203574670757e+00 -1.861402611077513924e+00 2.500000000000000000e+01 1.700000000000000000e+01
1.644307419004655824e-01 1.629138119607120572e-01 6.194094305521390988e-03 2.161291400281716013e-02 1.000058923658154297e+00 -1.959179781568527012e+00 -1.865197888502738266e+00 -1.871312692826034851e+00 2.600000000000000000e+01 6.000000000000000000e+00
9.196579463948439948e-02 1.608722913330479787e-01 6.622582197861427884e-03 1.409929130276317902e-02 9.999270646247854222e-01 -1.902102275349853766e+00 -1.865398771752051710e+00 -1.869346677842696369e+00 2.600000000000000000e+01 1.000000000000000000e+01
1.909553189345963187e+00 9.998422088951387510e-01 3.807345396601700439e-03 1.595096679159402342e-02 -9.999694038430382292e-01 7.271588705050685748e-05 -1.844108234278085678e+00 -1.861411005765146065e+00 2.500000000000000000e+01 1.700000000000000000e+01
1.909550362161476444e+00 9.998409992578145555e-01 3.807345619565231324e-03 1.595088660516279927e-02 -1.000045242093135167e+00 -5.496074439764158645e-05 -1.844108207384899778e+00 -1.861425175964543266e+00 2.500000000000000000e+01 1.700000000000000000e+01
9.794684717127521978e-02 1.620523126624695831e-01 9.129315093460974029e-03 1.749779671162840153e-02 1.000002250953833993e+00 -1.920047310209234137e+00 -1.845396916925809538e+00 -1.849002791754344344e+00 2.600000000000000000e+01 1.100000000000000000e+01
