V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
8.333808249872587393e-02 1.666648957681969578e-01 3.808407217500343272e-06 9.663434358166502793e-04 9.999976842481296258e-01 -1.999966915173534865e+00 -1.866328149606219178e+00 -1.866330891621872823e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084052066441355322e-02 8.347548098302859376e-02 3.357420911336763756e-06 1.636344628182936033e-04 1.000049527266467564e+00 -2.000017994360638429e+00 -1.866328659830457815e+00 -1.866330082432543502e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.166729847844077850e-02 2.851852207110604047e-04 8.376744156623030923e-07 3.215578303148697954e-04 9.999514473238602097e-01 -1.999953749702155559e+00 -1.866338201470854496e+00 -1.866338201470854052e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.619815163246055789e-03 1.717272245485862991e-01 5.154504522010019174e-06 4.587714190381375046e-06 8.612355551459044412e-01 -1.300838539096845770e+00 -1.866319632393023120e+00 -1.866319632393022898e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084067039280113054e-02 8.347595496694648620e-02 3.357153545519022149e-06 1.636373358720541872e-04 1.000060597826459619e+00 -2.000050704642876376e+00 -1.866328661016343649e+00 -1.866330036172438200e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084143635898549896e-02 1.666306383253330914e-01 5.776795406658568081e-06 5.262208014585657324e-04 1.000075814837916521e+00 -1.999426816397926743e+00 -1.866319632393017347e+00 -1.866321237066216554e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084226228668173420e-02 1.666372428770609981e-01 5.776501837564203859e-06 5.262275845236829164e-04 9.999934651594077906e-01 -1.999463534261329167e+00 -1.866319632393020234e+00 -1.866321247808046868e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084339101513554837e-02 1.666462500667827695e-01 5.776642193334918466e-06 5.262633916327246354e-04 9.999228734401668373e-01 -1.999555234905201262e+00 -1.866319632393020456e+00 -1.866321257896212726e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084436577105064359e-02 1.666540433597181459e-01 5.777143452700128420e-06 5.262900961320990303e-04 9.999617817243101614e-01 -1.999734508746141115e+00 -1.866319632393021344e+00 -1.866321256232586823e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.166685397653981104e-02 2.854519020430874572e-04 8.376815185200942388e-07 3.215568419213297676e-04 9.999263680331970106e-01 -1.999896645490547131e+00 -1.866338201477332870e+00 -1.866338201477334646e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.334025468396821790e-02 1.666632346676603926e-01 5.050413531811003576e-06 9.670799121317068909e-04 9.999879367657233953e-01 -1.999927260661056083e+00 -1.866319632393022898e+00 -1.866320861156700817e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084053005329145059e-02 8.347517910994739498e-02 3.357149944563658416e-06 1.636345055657643954e-04 1.000046273420559517e+00 -2.000016217150438980e+00 -1.866328661034334591e+00 -1.866330013867736115e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084053509571082152e-02 8.347519724792874796e-02 3.357215466262603724e-06 1.636323047402117787e-04 9.998352876145432111e-01 -1.999805626267511460e+00 -1.866328660820805840e+00 -1.866330041962187547e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084464104151872998e-02 1.666562508014236832e-01 5.776495258952570752e-06 5.263155808508759338e-04 1.000056306707514775e+00 -1.999868773787200515e+00 -1.866319632393019567e+00 -1.866321221298365751e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.374589483993453043e-01 6.067808224969662989e-01 1.363416316163008614e-05 1.174281300436783146e-05 -3.677359274496732611e-01 -3.532263383585039662e+00 -1.866318607619606107e+00 -1.866341233582920811e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.084059516235420295e-02 8.347551183925226714e-02 3.357256096570939600e-06 1.636330772725256145e-04 1.000004583469349395e+00 -1.999983886000336053e+00 -1.866328660529372296e+00 -1.866330051177242044e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.620472573092181623e-02 1.924057379582134464e-01 6.138713620663429290e-06 6.118338577516334350e-06 1.661408840110035534e+00 -2.885722594467975632e+00 -1.866318594752895743e+00 -1.866322140498584581e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.792567128673152155e-04 1.676907740563361449e-01 5.163076282886415638e-06 4.605941522856871954e-06 9.623604706010587817e-01 -1.391578295874252635e+00 -1.866319632393055317e+00 -1.866319632393055539e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.986968559648867760e-03 1.623996881139247450e-01 5.228431330701915591e-06 4.914285717605799945e-06 8.075982454035933733e-01 -1.434946436699086059e+00 -1.866319632393018901e+00 -1.866319632393016015e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.882163103370945390e-01 4.502636075904902779e-01 5.651936292086465952e-06 7.742901304511466110e-06 -1.615148025530393494e-01 -1.125826497578081176e+00 -1.866318608675583635e+00 -1.866336374971457435e+00 1.000000000000000000e+00 1.000000000000000000e+00
