V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
8.210986619884752535e-02 1.642083040248465964e-01 4.260058947228063128e-05 9.583774751253027651e-04 1.000152651836544671e+00 -1.953445393059622504e+00 -1.866328008329770860e+00 -1.866330315950557983e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.211229270842523853e-02 1.642131442355776738e-01 4.244280892175613539e-05 9.583773245793149797e-04 9.999537560073128439e-01 -1.953348730733527550e+00 -1.866327996502427089e+00 -1.866330282206081881e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.998180589427731801e+00 9.992511867066380393e-01 1.615018689790830327e-06 9.436116313578398512e-06 -1.039742968653485589e+00 3.253253648391388198e-02 -1.866318559965236323e+00 -1.866328131282679159e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.070358244063774666e-02 1.655489980011058959e-01 7.260682143467837388e-06 5.238770110854761367e-04 1.000076356494823848e+00 -1.979490648760679594e+00 -1.866319632393017791e+00 -1.866319632393018457e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.322337075091185365e-02 1.738071725046789473e-01 5.736616122869811451e-06 5.651069623642878962e-06 1.452910758567858451e+00 -2.393105963503427525e+00 -1.866318539587602965e+00 -1.866322098821064701e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.070388589211680230e-02 1.655514119828887798e-01 7.261549450852022263e-06 5.238769782807197210e-04 9.999951648431079088e-01 -1.979455832574104734e+00 -1.866319632393019567e+00 -1.866319632393020012e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.070401651262909759e-02 1.655523059479878656e-01 7.251245777470231675e-06 5.238767455780314391e-04 9.999770682876039096e-01 -1.979454781589637724e+00 -1.866319632393019567e+00 -1.866319632393020234e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.139599602954058266e-02 1.655606261297737913e-01 8.607306714111298597e-06 1.042097439380842983e-03 1.000028078922976960e+00 -1.979662160481723276e+00 -1.866319632393021566e+00 -1.866319632393021788e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.070445708101753546e-02 1.655557695803953067e-01 7.229915921449946083e-06 5.238800244904691199e-04 9.996992813108416254e-01 -1.979245034945496196e+00 -1.866319632393022454e+00 -1.866319632393022010e+00 1.000000000000000000e+00 1.000000000000000000e+00
1.997303371665723137e+00 9.989540382733290702e-01 1.699660151247849443e-06 9.441253630846264966e-06 -9.657322412461794015e-01 -4.440148759789686733e-02 -1.866318546649434085e+00 -1.866328231811582805e+00 1.000000000000000000e+00 1.000000000000000000e+00
5.017226178818270377e-01 4.058630634166010553e-01 5.652131040654727249e-06 7.418736185523147118e-06 -8.459056079804788686e-02 -1.156481490036304960e+00 -1.866318535687138569e+00 -1.866341213512842101e+00 1.000000000000000000e+00 1.000000000000000000e+00
8.210969581628779768e-02 1.642079318942031851e-01 4.262519071490706869e-05 9.583773777034793355e-04 1.000026350941789266e+00 -1.953314556345662423e+00 -1.866327991796772778e+00 -1.866330300822734767e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.083644876856183270e-02 8.342806546497794074e-02 3.806157661450222280e-06 1.634671053103849906e-04 9.963055797881433806e-01 -1.995435813569135020e+00 -1.866326151431174418e+00 -1.866327292833503959e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.070411802679283930e-02 1.655530081923389518e-01 7.243443148323145822e-06 5.238768904885999014e-04 1.000080890567622172e+00 -1.979570775226580981e+00 -1.866319632393019790e+00 -1.866319632393020012e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.405043518783313683e-01 5.564462386473580935e-01 3.789145487209410056e-06 7.377617907668023699e-06 -2.276370234364003264e-01 -7.420175253498844103e-01 -1.866318542836120420e+00 -1.866321773104518300e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.083560851146931681e-02 8.342925443313985168e-02 3.781523122614592646e-06 1.634667146022854907e-04 9.992397141795718030e-01 -1.998415379213865917e+00 -1.866326226304011904e+00 -1.866327347074929310e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.139633497771089132e-02 1.655620019303617185e-01 8.609953351343662886e-06 1.042097657542727374e-03 1.000036841015618627e+00 -1.979696770262537209e+00 -1.866319632393032668e+00 -1.866319632393032446e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.885113842823972874e-02 1.937454411317711678e-01 5.122858251269817233e-06 4.566205767782541408e-06 1.477428653691320593e+00 -1.638871670562413119e+00 -1.866318563460613200e+00 -1.866336356170624544e+00 1.000000000000000000e+00 1.000000000000000000e+00
9.239886206265146562e-03 1.610333850187609661e-01 5.396072062168542166e-06 5.177123960284945739e-06 8.058385820040776526e-01 -1.560861695384381687e+00 -1.866319632393018235e+00 -1.866319632393017791e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.783170403952826888e-01 3.426582639347369730e-01 5.622501309655116819e-06 6.936308280525280228e-06 3.716881222507652238e-02 -1.203782076116060251e+00 -1.866318502047381367e+00 -1.866341229622422437e+00 1.000000000000000000e+00 1.000000000000000000e+00
