V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
1.009316589516520181e-02 7.081293197746792254e-05 1.013700033024357919e-02 3.953664423691886226e-03 9.998713422182832211e-01 -1.975650010816451640e+00 -2.125446205337229610e+00 -2.125446205337231831e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009311921945249026e-02 7.077919608384768027e-05 1.013712803944696698e-02 3.953664397219210612e-03 1.000096719953212254e+00 -1.975875980296017076e+00 -2.125446056782917204e+00 -2.125446056782917204e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009352488754575866e-02 7.107584827356351305e-05 1.013655149574856779e-02 3.953664829115180121e-03 1.000004728424177536e+00 -1.975753304790150988e+00 -2.125446788048778402e+00 -2.125446788048777513e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009318889671324826e-02 7.082991153583298926e-05 1.013703708699570556e-02 3.953664415917572915e-03 9.999667876518613108e-01 -1.975742478136574665e+00 -2.125446175136187943e+00 -2.125446175136187499e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009304544668838087e-02 7.074443338443193747e-05 1.013709689027846722e-02 3.953664665070817825e-03 9.998439688451564722e-01 -1.975606997500740869e+00 -2.125445988405988640e+00 -2.125445988405989528e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009299681203051739e-02 7.070900973027853032e-05 1.013722223064566184e-02 3.953664464340912905e-03 9.999406525246895550e-01 -1.975706400566826781e+00 -2.125445842772672123e+00 -2.125445842772671234e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009313888155863488e-02 7.078994475766934333e-05 1.013716923911598018e-02 3.953664399991676029e-03 9.999940803452795901e-01 -1.975777885642993947e+00 -2.125446035467040140e+00 -2.125446035467040140e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009386234750022336e-02 7.132958544900158205e-05 1.013552154526999906e-02 3.953670642505369495e-03 9.988885030310741264e-01 -1.974612103090881865e+00 -2.125447918184056650e+00 -2.125447918184055318e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009309483599301650e-02 7.077311184140754920e-05 1.013712807906269435e-02 3.953664423552719770e-03 9.998911427290565479e-01 -1.975659616982448741e+00 -2.125446002736635531e+00 -2.125446002736638196e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009320622401672918e-02 7.082198028195060271e-05 1.013722261392595303e-02 3.953664545184456570e-03 1.000150046957444694e+00 -1.975949132217792004e+00 -2.125446070370582419e+00 -2.125446070370581975e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009315377110261806e-02 7.080487343730476374e-05 1.013706989971722636e-02 3.953664544271682374e-03 9.997699723009805250e-01 -1.975549843261350524e+00 -2.125446126391425938e+00 -2.125446126391425938e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009325829693652303e-02 7.085558627828886799e-05 1.013702960948393086e-02 3.953664665006371114e-03 1.000215580246554659e+00 -1.976015179172172731e+00 -2.125446303477233734e+00 -2.125446303477233290e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009308837118117787e-02 7.077950455134854454e-05 1.013698508490451164e-02 3.953664560293571051e-03 1.000368927713392919e+00 -1.976117257464863775e+00 -2.125446103390100205e+00 -2.125446103390100649e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009321544684192370e-02 7.082361189870371287e-05 1.013733743402122148e-02 3.953664898987521541e-03 1.000110175799409751e+00 -1.975915903064810131e+00 -2.125445974795992399e+00 -2.125445974795991955e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009312098285245103e-02 7.078586687003486861e-05 1.013708910290017987e-02 3.953664395595655155e-03 1.000019036073421796e+00 -1.975792105740704852e+00 -2.125446076502603976e+00 -2.125446076502605752e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009281648214086294e-02 7.059062365260393825e-05 1.013757439875220996e-02 3.953665243579729607e-03 9.999636848120551091e-01 -1.975726522987948153e+00 -2.125445365544683440e+00 -2.125445365544681664e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009280880906623934e-02 7.053598406774196799e-05 1.013754821206295891e-02 3.953665037971330377e-03 1.000138132663732193e+00 -1.975962196197055043e+00 -2.125445579338652635e+00 -2.125445579338653967e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009303719659607711e-02 7.072355413166527037e-05 1.013728755076313826e-02 3.953664424076901163e-03 9.999832363660933199e-01 -1.975764870137460605e+00 -2.125445848005296234e+00 -2.125445848005297567e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009374724012009929e-02 7.119821012094076636e-05 1.013619537072169355e-02 3.953665149345061795e-03 9.999858614879408858e-01 -1.975769077438551014e+00 -2.125447385797761601e+00 -2.125447385797763378e+00 2.400000000000000000e+01 5.000000000000000000e+00
1.009330946549901603e-02 7.089402536096728932e-05 1.013699116464999821e-02 3.953664573748183475e-03 9.999615063354962974e-01 -1.975758959397174719e+00 -2.125446356796893088e+00 -2.125446356796892200e+00 2.400000000000000000e+01 5.000000000000000000e+00
