V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
2.909953798152731252e-02 2.484292353499775174e-01 9.547315658134717525e-03 7.644502536875498119e-03 1.000160812175348912e+00 -1.004710708211756121e+00 -1.845396916925811093e+00 -1.845396916925810871e+00 3.000000000000000000e+01 1.300000000000000000e+01
3.388421848283462712e-02 8.529115988133369186e-02 6.082882000869712681e-03 5.776970936271205725e-03 9.998554375671537819e-01 -1.954620644859738743e+00 -1.861026562721361799e+00 -1.862138811115889636e+00 2.600000000000000000e+01 6.000000000000000000e+00
4.206815335557510804e-02 3.003619588943574913e-04 5.315113503466113200e-03 1.226054429303689679e-03 9.997802546235559085e-01 -1.994606408127243435e+00 -1.873255909755953130e+00 -1.873255909755953574e+00 2.900000000000000000e+01 5.000000000000000000e+00
3.388428937821802434e-02 8.528892277183869330e-02 6.083112525502876351e-03 5.776971337954118352e-03 9.999147511913574204e-01 -1.954652948168992044e+00 -1.861025125089293741e+00 -1.862139141843329071e+00 2.600000000000000000e+01 6.000000000000000000e+00
2.909817503259204408e-02 2.484059899421652284e-01 9.546904136133521276e-03 7.644502348689094159e-03 9.998602489275252303e-01 -1.004630211868329903e+00 -1.845396916925810427e+00 -1.845396916925808872e+00 3.000000000000000000e+01 1.300000000000000000e+01
2.910052551009445487e-02 2.484447722538389858e-01 9.547450264022481689e-03 7.644502756649125368e-03 1.000085220463063251e+00 -1.004625780362784493e+00 -1.845396916925813535e+00 -1.845396916925814645e+00 3.000000000000000000e+01 1.300000000000000000e+01
4.207398246798343955e-02 2.961311409294947869e-04 5.323512961433215021e-03 1.226055522124917720e-03 1.000068394400705385e+00 -1.994878258853040709e+00 -1.873229254438500968e+00 -1.873229254438501856e+00 2.900000000000000000e+01 5.000000000000000000e+00
9.432441790425416528e-02 1.558202015608663449e-01 1.161003512281548813e-02 1.657241290752883497e-02 1.000021645545671189e+00 -1.629316674692188105e+00 -1.845396916925813091e+00 -1.855526856655886458e+00 3.200000000000000000e+01 1.500000000000000000e+01
3.388439306603019396e-02 8.529148487619270247e-02 6.083061484568212662e-03 5.776971052435679599e-03 1.000007099102727670e+00 -1.954804902548616274e+00 -1.861025220917932987e+00 -1.862137546789082831e+00 2.600000000000000000e+01 6.000000000000000000e+00
2.909489133267828542e-02 2.483528865498907390e-01 9.546035514348096690e-03 7.644502528920566267e-03 1.000115106287267075e+00 -1.004919318526483751e+00 -1.845396916925808206e+00 -1.845396916925807762e+00 3.000000000000000000e+01 1.300000000000000000e+01
8.796551258180895783e-02 1.540116277599610228e-01 8.769566388264177226e-03 1.299516441733811548e-02 9.998378352600866270e-01 -1.590072979506874651e+00 -1.845396916925810871e+00 -1.875164875813131626e+00 2.900000000000000000e+01 1.200000000000000000e+01
3.388402045115068706e-02 8.529515186447364505e-02 6.082089483934771321e-03 5.776971097370785582e-03 9.997750362040059846e-01 -1.954575191193772765e+00 -1.861031691828632484e+00 -1.862141920504018611e+00 2.600000000000000000e+01 6.000000000000000000e+00
3.388432881593006485e-02 8.529322027752525570e-02 6.082784253502540942e-03 5.776971281721022047e-03 1.000038106203004373e+00 -1.954859213604196677e+00 -1.861026995390979044e+00 -1.862138760406359062e+00 2.600000000000000000e+01 6.000000000000000000e+00
4.206789120813356209e-02 2.997618277301252777e-04 5.316122998720480830e-03 1.226055089549743906e-03 1.000194988260892037e+00 -1.994929908959629072e+00 -1.873252215079448835e+00 -1.873252215079449945e+00 2.900000000000000000e+01 5.000000000000000000e+00
3.388418373143675666e-02 8.529268094743466810e-02 6.082577538388637961e-03 5.776970974075822801e-03 1.000120776874511064e+00 -1.954889860051438610e+00 -1.861028630034453402e+00 -1.862140115746862001e+00 2.600000000000000000e+01 6.000000000000000000e+00
1.564458368331543281e-01 1.482183035508438662e-01 1.177311556575674073e-02 1.931717994852375289e-02 1.000051882255021951e+00 -1.744450504769738064e+00 -1.845396916925812203e+00 -1.878908603206505656e+00 2.900000000000000000e+01 8.000000000000000000e+00
2.909602804073663229e-02 2.483736369804281363e-01 9.546192966439650748e-03 7.644503117831734362e-03 1.000023660739390197e+00 -1.004810780604257658e+00 -1.845396916925807984e+00 -1.845396916925809316e+00 3.000000000000000000e+01 1.300000000000000000e+01
8.796545797513033449e-02 1.540107773437598970e-01 8.770443655557361162e-03 1.299516421890739570e-02 9.999750355336494145e-01 -1.590140348718757091e+00 -1.845396916925810871e+00 -1.875164851477172601e+00 2.900000000000000000e+01 1.200000000000000000e+01
2.892828515589696003e-02 2.474651201252507926e-01 9.520616988774512762e-03 7.675947271959236186e-03 9.997573251715289322e-01 -1.007550531931291182e+00 -1.845396916925803543e+00 -1.845396916925802877e+00 3.000000000000000000e+01 1.300000000000000000e+01
2.909797784273560062e-02 2.484042416771594652e-01 9.547107290021988185e-03 7.644502569932236022e-03 1.000032338124140052e+00 -1.004721660383292914e+00 -1.845396916925808428e+00 -1.845396916925807318e+00 3.000000000000000000e+01 1.300000000000000000e+01
