V_fci V_hf C_fci C_hf b c E_dec E_bo K_en K_overlap
2.429866480213249691e-02 1.589207774663879136e-01 2.078696546130865026e-03 4.075944269892791891e-03 1.000086409751360206e+00 -1.819755037040184265e+00 -1.862588568869106398e+00 -1.862588568869106620e+00 2.000000000000000000e+01 6.000000000000000000e+00
2.374772736695984765e-02 8.687605736720246941e-02 1.239063433746070628e-03 1.488671575473932401e-03 9.993858546957751221e-01 -1.989022771281669044e+00 -1.865272279314933446e+00 -1.865522212207399999e+00 1.800000000000000000e+01 5.000000000000000000e+00
4.460326457774635434e-02 6.517630865317542018e-05 3.405418844286524707e-03 7.305318717418620485e-04 1.001052295448480400e+00 -1.998549704141485917e+00 -1.862588568869120165e+00 -1.867147978447961876e+00 2.300000000000000000e+01 5.000000000000000000e+00
2.374774050230143985e-02 8.687174998001867543e-02 1.239413349037462100e-03 1.488671807926844788e-03 9.995587375287576792e-01 -1.989175354486528269e+00 -1.865269815531312325e+00 -1.865518628844252236e+00 1.800000000000000000e+01 5.000000000000000000e+00
5.726119125120110454e-03 2.453904132075223066e-01 1.917333949534211039e-03 1.509345336836235597e-03 1.000472469776498619e+00 -1.014282490675249226e+00 -1.862588568869104177e+00 -1.862588568869103511e+00 1.800000000000000000e+01 6.000000000000000000e+00
5.727474462018378176e-03 2.454897189376621380e-01 1.917775333363956050e-03 1.509345479632725941e-03 1.000237304894844970e+00 -1.013855052838288584e+00 -1.862588568869109285e+00 -1.862588568869107508e+00 1.800000000000000000e+01 6.000000000000000000e+00
4.461019812328435863e-02 6.314809744187647978e-05 3.413031831332217006e-03 7.305319601081055160e-04 1.000733566214556225e+00 -1.998188123083125989e+00 -1.862588568869102623e+00 -1.867148450679847471e+00 2.300000000000000000e+01 5.000000000000000000e+00
8.281805381690932055e-02 1.587197358263454372e-01 2.392286903453360279e-03 5.675751254712506876e-03 9.998903726418932880e-01 -1.821118752846690780e+00 -1.862588568869107064e+00 -1.863211107771412411e+00 2.500000000000000000e+01 9.000000000000000000e+00
2.374719448507983666e-02 8.687777220581817395e-02 1.238793323709566716e-03 1.488671799523697253e-03 9.998130065646326781e-01 -1.989407103165846236e+00 -1.865274047912834465e+00 -1.865522927784230456e+00 1.800000000000000000e+01 5.000000000000000000e+00
5.727214933659574569e-03 2.454771058880239609e-01 1.917704545469208757e-03 1.509344753188546608e-03 9.998780424113484777e-01 -1.013712119151041868e+00 -1.862588568869103511e+00 -1.862588568869102845e+00 1.800000000000000000e+01 6.000000000000000000e+00
8.090554070873567927e-02 1.572479907312440695e-01 2.122918095297524760e-03 5.104425254085531369e-03 9.998198479539582850e-01 -1.765281240911183103e+00 -1.862588568869106176e+00 -1.868043269661231021e+00 2.200000000000000000e+01 9.000000000000000000e+00
2.374791972581918875e-02 8.686987459302561443e-02 1.239627898685763700e-03 1.488671867341395325e-03 1.000119529147357689e+00 -1.989736027119247463e+00 -1.865268421533943899e+00 -1.865517683706768626e+00 1.800000000000000000e+01 5.000000000000000000e+00
2.374802770002309993e-02 8.687257166417652887e-02 1.239418790598288819e-03 1.488671733819638089e-03 9.990482294389462226e-01 -1.988695034345155932e+00 -1.865269851388126510e+00 -1.865519604714735769e+00 1.800000000000000000e+01 5.000000000000000000e+00
5.731474874253628116e-03 2.454660024813185570e-01 1.917686398985679174e-03 1.509348618451923770e-03 9.963414555414363827e-01 -1.011958937723117291e+00 -1.862588568869107286e+00 -1.862588568869111061e+00 1.800000000000000000e+01 6.000000000000000000e+00
2.374765836408537778e-02 8.687571283205146322e-02 1.239056253957551267e-03 1.488671392508208666e-03 1.000218918871623508e+00 -1.989855630815357213e+00 -1.865272157933731911e+00 -1.865521700141133277e+00 1.800000000000000000e+01 5.000000000000000000e+00
1.592891602966183817e-01 1.584594087062495271e-01 2.388481179799392846e-03 8.791069716585447544e-03 1.000059867263865865e+00 -1.832678517031240517e+00 -1.865490653899639861e+00 -1.866233060369231422e+00 2.200000000000000000e+01 5.000000000000000000e+00
5.727676847085527712e-03 2.455205350650265794e-01 1.917871124936539008e-03 1.509344723282243263e-03 1.000001609213705400e+00 -1.013640210279346254e+00 -1.862588568869103733e+00 -1.862588568869103955e+00 1.800000000000000000e+01 6.000000000000000000e+00
2.429816171002263658e-02 1.589185064506571377e-01 2.078858842620224731e-03 4.075944067336071362e-03 1.000026769436330065e+00 -1.819620974480797626e+00 -1.862588568869102845e+00 -1.862588568869104622e+00 2.000000000000000000e+01 6.000000000000000000e+00
5.728951675831428503e-03 2.456027062182786214e-01 1.918206311669183508e-03 1.509346123521053580e-03 9.993256124832555765e-01 -1.013043209445958936e+00 -1.862588568869182559e+00 -1.862588568869182115e+00 1.800000000000000000e+01 6.000000000000000000e+00
8.281892562311887751e-02 1.587212087284357032e-01 2.391894114457326307e-03 5.675751157258564390e-03 1.000027656844419299e+00 -1.821296217683961105e+00 -1.862588568869103733e+00 -1.863210971050146325e+00 2.500000000000000000e+01 9.000000000000000000e+00
